epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.6884,0.76817,4.01827,1.11064,0.38339,0.17962,0.12615,0.10272,0.62237,2.71356,1.02798,0.000113915,0.000113915,0.000113915
2,71.3989,0.77855,2.99518,1.11681,0.25804,0.51764,0.30358,0.24998,0.6312,2.14842,1.04138,0.000221361,0.000221361,0.000221361
3,102.999,0.75493,2.58878,1.08486,0.28386,0.55045,0.38139,0.30927,0.67203,2.12874,1.06929,0.000321217,0.000321217,0.000321217
4,134.938,0.7568,2.35727,1.07373,0.36879,0.51833,0.48733,0.39959,0.6289,1.92606,1.04075,0.000310845,0.000310845,0.000310845
5,166.879,0.72581,2.16424,1.0621,0.44454,0.62842,0.54775,0.46025,0.60538,1.45633,0.98625,0.00029946,0.00029946,0.00029946
6,194.056,0.72008,1.98983,1.04423,0.54034,0.68869,0.65142,0.55385,0.57601,1.26834,0.9778,0.000288075,0.000288075,0.000288075
7,227.74,0.69486,1.88843,1.04238,0.65865,0.67612,0.72317,0.61832,0.57475,1.12498,0.94613,0.00027669,0.00027669,0.00027669
8,259.443,0.67709,1.72336,1.01513,0.60994,0.74592,0.74064,0.64479,0.54313,1.02112,0.93243,0.000265305,0.000265305,0.000265305
9,291.335,0.64579,1.65911,1.01514,0.65115,0.72069,0.73774,0.64256,0.53979,1.01943,0.93738,0.00025392,0.00025392,0.00025392
10,323.174,0.65116,1.5721,1.01712,0.67677,0.77101,0.77973,0.67684,0.53417,0.94491,0.93315,0.000242535,0.000242535,0.000242535
11,354.97,0.63346,1.50158,1.00296,0.6799,0.80461,0.79849,0.69635,0.52395,0.87396,0.91871,0.00023115,0.00023115,0.00023115
12,386.97,0.6271,1.41685,0.99686,0.67058,0.82662,0.80497,0.70354,0.51863,0.81935,0.90775,0.000219765,0.000219765,0.000219765
13,418.548,0.63062,1.38035,0.99672,0.69331,0.81465,0.80229,0.70449,0.51856,0.82939,0.91362,0.00020838,0.00020838,0.00020838
14,448.737,0.61245,1.35708,0.9929,0.71503,0.83735,0.82799,0.72856,0.49982,0.74039,0.90697,0.000196995,0.000196995,0.000196995
15,480.482,0.60492,1.2853,0.98778,0.73885,0.84086,0.82875,0.73029,0.50559,0.72515,0.90023,0.00018561,0.00018561,0.00018561
16,512.139,0.59156,1.25581,0.97664,0.75936,0.81587,0.8218,0.72606,0.51244,0.76878,0.90262,0.000174225,0.000174225,0.000174225
17,544.075,0.59228,1.19678,0.97752,0.75238,0.86826,0.84436,0.75,0.50745,0.69612,0.89924,0.00016284,0.00016284,0.00016284
18,576.038,0.58958,1.17247,0.97061,0.79163,0.83837,0.85201,0.75673,0.48447,0.66818,0.8845,0.000151455,0.000151455,0.000151455
19,607.847,0.57655,1.14298,0.97088,0.7732,0.84832,0.85141,0.76286,0.48123,0.66176,0.88925,0.00014007,0.00014007,0.00014007
20,639.836,0.57638,1.09752,0.97004,0.79653,0.83767,0.87,0.77347,0.48424,0.64949,0.88635,0.000128685,0.000128685,0.000128685
21,672.134,0.51568,0.99408,0.91865,0.78864,0.87215,0.8665,0.77484,0.46863,0.62327,0.87377,0.0001173,0.0001173,0.0001173
22,701.328,0.51708,0.94543,0.91447,0.78938,0.85398,0.86739,0.77594,0.4654,0.6083,0.86455,0.000105915,0.000105915,0.000105915
23,730.573,0.4954,0.89039,0.90473,0.79371,0.86449,0.87583,0.77884,0.47181,0.59769,0.87482,9.453e-05,9.453e-05,9.453e-05
24,759.674,0.49312,0.85536,0.90628,0.77729,0.87996,0.87689,0.78866,0.45361,0.58,0.86616,8.3145e-05,8.3145e-05,8.3145e-05
25,788.702,0.49264,0.82605,0.90357,0.81051,0.85717,0.8706,0.78074,0.45252,0.57419,0.86418,7.176e-05,7.176e-05,7.176e-05
26,818.25,0.48553,0.8013,0.89374,0.80437,0.87476,0.87809,0.78443,0.45637,0.56675,0.86256,6.0375e-05,6.0375e-05,6.0375e-05
27,847.601,0.47616,0.78766,0.90211,0.78355,0.87926,0.88274,0.79124,0.45162,0.55878,0.86376,4.899e-05,4.899e-05,4.899e-05
28,877.299,0.47485,0.77594,0.89387,0.80197,0.88834,0.88236,0.7947,0.44196,0.55385,0.8601,3.7605e-05,3.7605e-05,3.7605e-05
29,906.595,0.4678,0.7563,0.8948,0.81852,0.86187,0.87876,0.79481,0.44173,0.56222,0.85806,2.622e-05,2.622e-05,2.622e-05
30,931.497,0.46217,0.73527,0.88648,0.8108,0.88131,0.8795,0.79464,0.44007,0.54925,0.85717,1.4835e-05,1.4835e-05,1.4835e-05
