epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,115.283,1.54396,5.81269,1.9938,0.53268,0.07191,0.10012,0.05659,1.65064,3.09383,1.88935,0.000113915,0.000113915,0.000113915
2,216.042,1.28486,4.75968,1.67618,0.26467,0.3007,0.17527,0.10386,1.43146,2.58413,1.61976,0.000221361,0.000221361,0.000221361
3,318.185,1.24652,4.16704,1.60506,0.22917,0.48267,0.29679,0.1717,1.54897,2.47204,1.77509,0.000321217,0.000321217,0.000321217
4,428.001,1.16849,3.77489,1.54332,0.27501,0.41992,0.33907,0.20388,1.49382,2.06669,1.80441,0.000310845,0.000310845,0.000310845
5,535.912,1.15486,3.4435,1.50741,0.3158,0.50675,0.36263,0.25235,1.22623,2.08918,1.51776,0.00029946,0.00029946,0.00029946
6,636.685,1.12236,3.15396,1.46753,0.31182,0.57546,0.41689,0.29029,1.21401,1.83875,1.50444,0.000288075,0.000288075,0.000288075
7,742.026,1.05537,2.91363,1.42548,0.41208,0.60672,0.50987,0.34736,1.26431,1.73105,1.54932,0.00027669,0.00027669,0.00027669
8,845.178,1.03408,2.6194,1.38937,0.47001,0.62577,0.55386,0.35861,1.39705,1.61199,1.72971,0.000265305,0.000265305,0.000265305
9,953.168,1.02758,2.51577,1.40308,0.52288,0.63551,0.61933,0.44592,1.14236,1.43896,1.399,0.00025392,0.00025392,0.00025392
10,1052.04,1.04363,2.34339,1.38658,0.55244,0.66726,0.63281,0.43773,1.18617,1.38697,1.4328,0.000242535,0.000242535,0.000242535
11,1157.47,1.00897,2.22243,1.38607,0.58086,0.67606,0.69177,0.51062,1.09725,1.27906,1.32178,0.00023115,0.00023115,0.00023115
12,1258.51,0.9719,2.07065,1.33576,0.57809,0.70089,0.68912,0.51735,1.02149,1.27178,1.2829,0.000219765,0.000219765,0.000219765
13,1366.69,0.97216,1.97308,1.34198,0.7055,0.67809,0.73378,0.5392,1.10129,1.16064,1.3823,0.00020838,0.00020838,0.00020838
14,1469.24,0.94671,1.88994,1.31282,0.68573,0.73501,0.74801,0.5691,1.01207,1.10804,1.29461,0.000196995,0.000196995,0.000196995
15,1571.7,0.91911,1.78969,1.29681,0.696,0.73045,0.76149,0.57327,1.00069,1.09426,1.29638,0.00018561,0.00018561,0.00018561
16,1672.73,0.91119,1.71874,1.2826,0.6662,0.76938,0.77681,0.57383,1.05114,1.03256,1.33934,0.000174225,0.000174225,0.000174225
17,1774.3,0.91029,1.67407,1.29424,0.7235,0.77345,0.78754,0.60009,0.99319,0.98994,1.27796,0.00016284,0.00016284,0.00016284
18,1873.8,0.89757,1.6115,1.27179,0.71906,0.76586,0.793,0.57794,1.06288,0.99031,1.36449,0.000151455,0.000151455,0.000151455
19,1973.75,0.88346,1.56757,1.26377,0.71383,0.7736,0.79615,0.61116,0.93408,0.92103,1.22765,0.00014007,0.00014007,0.00014007
20,2073.45,0.87293,1.52193,1.25952,0.73657,0.76726,0.80417,0.628,0.93317,0.91644,1.21376,0.000128685,0.000128685,0.000128685
21,2172.67,0.87674,1.57004,1.20023,0.74067,0.81358,0.81965,0.63124,0.92664,0.88702,1.22729,0.0001173,0.0001173,0.0001173
22,2256.4,0.87672,1.47621,1.17169,0.73955,0.80473,0.80949,0.6026,1.01645,0.87886,1.31242,0.000105915,0.000105915,0.000105915
23,2342.88,0.84676,1.39933,1.14197,0.72338,0.84534,0.81903,0.64362,0.90001,0.83469,1.18535,9.453e-05,9.453e-05,9.453e-05
24,2427.19,0.83838,1.36003,1.12406,0.72376,0.83957,0.82715,0.65231,0.86349,0.84419,1.16296,8.3145e-05,8.3145e-05,8.3145e-05
25,2516.18,0.82764,1.30479,1.13461,0.76487,0.80605,0.81968,0.63385,0.90584,0.8105,1.21202,7.176e-05,7.176e-05,7.176e-05
26,2600.11,0.80962,1.25304,1.11632,0.74444,0.86595,0.83763,0.65265,0.88288,0.77298,1.17581,6.0375e-05,6.0375e-05,6.0375e-05
27,2684.48,0.81969,1.2487,1.09533,0.80397,0.80455,0.84373,0.65544,0.88687,0.75863,1.18046,4.899e-05,4.899e-05,4.899e-05
28,2768.21,0.79338,1.21378,1.08353,0.7571,0.84323,0.83491,0.66265,0.82817,0.76866,1.1182,3.7605e-05,3.7605e-05,3.7605e-05
29,2853.9,0.7834,1.18093,1.07574,0.78182,0.84879,0.83687,0.66057,0.8553,0.73949,1.15218,2.622e-05,2.622e-05,2.622e-05
30,2937.73,0.77447,1.15838,1.06548,0.78522,0.8417,0.84599,0.66705,0.85174,0.7255,1.15143,1.4835e-05,1.4835e-05,1.4835e-05
