epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,136.922,1.04471,1.54393,1.38383,0.73882,0.8302,0.81607,0.61978,0.98828,0.85392,1.28678,0.000113915,0.000113915,0.000113915
2,253.882,1.06926,1.52676,1.38959,0.73434,0.76973,0.79492,0.59234,1.0258,0.95497,1.34235,0.000221361,0.000221361,0.000221361
3,366.668,1.10685,1.58845,1.40589,0.70024,0.76967,0.78717,0.55918,1.15927,0.955,1.49127,0.000321217,0.000321217,0.000321217
4,477.953,1.0853,1.57398,1.39507,0.71334,0.74815,0.77551,0.58959,0.97579,0.96783,1.28126,0.000310845,0.000310845,0.000310845
5,597.744,1.09619,1.54936,1.41223,0.6901,0.8392,0.79595,0.54289,1.23787,0.96928,1.62764,0.00029946,0.00029946,0.00029946
6,697.643,1.09679,1.49038,1.39318,0.70901,0.79308,0.7908,0.60076,0.99486,0.94555,1.30533,0.000288075,0.000288075,0.000288075
7,808.108,1.0633,1.47176,1.37701,0.7253,0.77752,0.79929,0.60271,1.00429,0.94069,1.3018,0.00027669,0.00027669,0.00027669
8,930.377,1.04582,1.37738,1.35838,0.69667,0.83944,0.80228,0.59751,1.05079,0.89457,1.33193,0.000265305,0.000265305,0.000265305
9,1046.42,1.04713,1.38019,1.35046,0.72337,0.83665,0.81398,0.60989,1.01571,0.86515,1.35645,0.00025392,0.00025392,0.00025392
10,1162.4,1.01626,1.36219,1.33251,0.74719,0.81768,0.82929,0.62642,0.95849,0.82319,1.26458,0.000242535,0.000242535,0.000242535
11,1273.37,1.03957,1.34816,1.35485,0.68691,0.85211,0.81896,0.60621,0.99105,0.82309,1.27059,0.00023115,0.00023115,0.00023115
12,1390.29,0.98158,1.26996,1.30413,0.71808,0.87147,0.82059,0.61701,0.95848,0.82064,1.27243,0.000219765,0.000219765,0.000219765
13,1502.16,1.0159,1.27426,1.3239,0.71075,0.84803,0.82243,0.60622,1.00803,0.81175,1.34169,0.00020838,0.00020838,0.00020838
14,1618.2,0.97865,1.22818,1.30135,0.73821,0.84251,0.82292,0.62829,0.9505,0.76607,1.2529,0.000196995,0.000196995,0.000196995
15,1728.92,0.95645,1.19708,1.32295,0.737,0.87566,0.82276,0.63098,0.9545,0.76518,1.252,0.00018561,0.00018561,0.00018561
16,1848.18,0.97045,1.22514,1.29402,0.72888,0.86854,0.8339,0.6198,1.00677,0.78393,1.33438,0.000174225,0.000174225,0.000174225
17,1949.49,0.97107,1.19635,1.2906,0.75703,0.83716,0.83511,0.64211,0.91034,0.7383,1.22589,0.00016284,0.00016284,0.00016284
18,2059.79,0.94654,1.1557,1.27937,0.73996,0.84096,0.82917,0.6248,0.95997,0.77447,1.28199,0.000151455,0.000151455,0.000151455
19,2169.69,0.95302,1.15961,1.27864,0.74211,0.88097,0.84371,0.62091,1.05282,0.73596,1.38243,0.00014007,0.00014007,0.00014007
20,2283.66,0.93868,1.1221,1.27512,0.75314,0.86301,0.8447,0.65843,0.86564,0.71514,1.17893,0.000128685,0.000128685,0.000128685
21,2395.76,0.87,0.85648,1.18941,0.7853,0.85742,0.84363,0.65177,0.8904,0.69743,1.18003,0.0001173,0.0001173,0.0001173
22,2492.27,0.87883,0.8234,1.17734,0.76533,0.87844,0.85908,0.65699,0.92742,0.71192,1.22108,0.000105915,0.000105915,0.000105915
23,2591.15,0.85583,0.79826,1.15577,0.76801,0.8937,0.86002,0.67396,0.86859,0.68232,1.16917,9.453e-05,9.453e-05,9.453e-05
24,2688.4,0.84798,0.78001,1.14821,0.80345,0.85439,0.85784,0.67478,0.83193,0.68913,1.12945,8.3145e-05,8.3145e-05,8.3145e-05
25,2790.8,0.84956,0.76723,1.15812,0.77456,0.88131,0.85976,0.65266,0.94284,0.68021,1.2469,7.176e-05,7.176e-05,7.176e-05
26,2886.97,0.83795,0.75205,1.13923,0.78355,0.87209,0.85427,0.67313,0.84054,0.67384,1.11615,6.0375e-05,6.0375e-05,6.0375e-05
27,2986.2,0.8423,0.75899,1.1168,0.80199,0.87218,0.87151,0.68456,0.85143,0.65673,1.15633,4.899e-05,4.899e-05,4.899e-05
28,3083.12,0.82841,0.73504,1.10801,0.78694,0.88033,0.86008,0.68914,0.81396,0.65795,1.11139,3.7605e-05,3.7605e-05,3.7605e-05
29,3181.95,0.80365,0.71517,1.10485,0.80351,0.86806,0.86341,0.68012,0.84926,0.6457,1.14497,2.622e-05,2.622e-05,2.622e-05
30,3275.33,0.80036,0.70785,1.0961,0.81625,0.86263,0.8632,0.68502,0.84131,0.63517,1.14422,1.4835e-05,1.4835e-05,1.4835e-05
