epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.422,1.04972,5.59733,1.51,0.45948,0.18104,0.1275,0.0927,1.12427,2.82213,1.49247,0.000113915,0.000113915,0.000113915
2,202.633,0.96325,4.69067,1.38836,0.2826,0.50103,0.28906,0.21655,1.06702,2.69367,1.34456,0.000221361,0.000221361,0.000221361
3,296.802,0.88991,4.01313,1.30135,0.31001,0.60697,0.37752,0.28507,1.03656,2.08903,1.29396,0.000321217,0.000321217,0.000321217
4,389.125,0.88548,3.55626,1.29393,0.42167,0.47771,0.47093,0.37231,1.00244,1.78446,1.2923,0.000310845,0.000310845,0.000310845
5,485.455,0.85955,3.19386,1.27248,0.59544,0.56894,0.61488,0.4694,0.97182,1.53584,1.24054,0.00029946,0.00029946,0.00029946
6,581.428,0.84158,2.84217,1.24029,0.57548,0.64496,0.64806,0.52162,0.90812,1.44609,1.18839,0.000288075,0.000288075,0.000288075
7,674.043,0.8092,2.56691,1.21937,0.63198,0.69414,0.71173,0.56692,0.91068,1.20471,1.16796,0.00027669,0.00027669,0.00027669
8,767.9,0.77502,2.2447,1.18071,0.64692,0.73056,0.74978,0.59879,0.885,1.12706,1.16521,0.000265305,0.000265305,0.000265305
9,866.249,0.7423,2.16619,1.1804,0.67932,0.69376,0.72574,0.58208,0.87264,1.16949,1.1604,0.00025392,0.00025392,0.00025392
10,960.684,0.76303,2.00259,1.17452,0.71148,0.74071,0.76789,0.61975,0.86466,1.03715,1.16716,0.000242535,0.000242535,0.000242535
11,1052.52,0.72045,1.85665,1.16591,0.68369,0.82782,0.79461,0.63947,0.82104,0.97904,1.1144,0.00023115,0.00023115,0.00023115
12,1144.99,0.71412,1.72263,1.14753,0.71406,0.80915,0.81084,0.64436,0.80665,0.92697,1.0997,0.000219765,0.000219765,0.000219765
13,1243.09,0.70417,1.63312,1.13142,0.71432,0.80818,0.79142,0.64222,0.79057,0.93211,1.09427,0.00020838,0.00020838,0.00020838
14,1336.05,0.69593,1.58531,1.12701,0.72786,0.8246,0.80568,0.66316,0.77388,0.85868,1.08558,0.000196995,0.000196995,0.000196995
15,1429.39,0.68346,1.51668,1.12002,0.74822,0.81134,0.81966,0.67071,0.76676,0.84844,1.05343,0.00018561,0.00018561,0.00018561
16,1522.05,0.65795,1.43109,1.09893,0.74589,0.81934,0.82158,0.67091,0.75747,0.83185,1.04232,0.000174225,0.000174225,0.000174225
17,1621.32,0.6658,1.3535,1.10062,0.74136,0.84541,0.83957,0.69099,0.73759,0.76314,1.02463,0.00016284,0.00016284,0.00016284
18,1714.2,0.64397,1.32596,1.08363,0.78189,0.8321,0.83539,0.67947,0.73562,0.74434,1.03525,0.000151455,0.000151455,0.000151455
19,1807.75,0.64438,1.29708,1.08009,0.74893,0.8386,0.83635,0.68584,0.74431,0.73376,1.02698,0.00014007,0.00014007,0.00014007
20,1901.17,0.63682,1.24293,1.07821,0.79307,0.8463,0.84964,0.69646,0.73738,0.70172,1.01251,0.000128685,0.000128685,0.000128685
21,1996.69,0.66038,1.26949,1.0115,0.79863,0.84962,0.85191,0.69709,0.70698,0.70882,0.99755,0.0001173,0.0001173,0.0001173
22,2078.52,0.65646,1.18608,0.99255,0.81924,0.84347,0.85494,0.7119,0.68439,0.67206,0.98136,0.000105915,0.000105915,0.000105915
23,2162.88,0.64656,1.128,0.97084,0.79194,0.85315,0.85564,0.70556,0.68312,0.66682,0.98503,9.453e-05,9.453e-05,9.453e-05
24,2244.87,0.64468,1.08561,0.97001,0.80158,0.85114,0.86406,0.71677,0.66173,0.65804,0.97343,8.3145e-05,8.3145e-05,8.3145e-05
25,2331.14,0.63014,1.03778,0.96564,0.80332,0.86131,0.85816,0.71086,0.68629,0.65395,0.97835,7.176e-05,7.176e-05,7.176e-05
26,2411.55,0.62654,1.0001,0.96253,0.79386,0.85906,0.86333,0.72439,0.67515,0.63647,0.96076,6.0375e-05,6.0375e-05,6.0375e-05
27,2496.09,0.62473,0.98667,0.95,0.80922,0.85943,0.86404,0.72134,0.66675,0.62179,0.95389,4.899e-05,4.899e-05,4.899e-05
28,2577.17,0.6171,0.96659,0.93963,0.79576,0.86508,0.86162,0.72515,0.66179,0.62122,0.95202,3.7605e-05,3.7605e-05,3.7605e-05
29,2659.25,0.60104,0.93351,0.9385,0.80678,0.8614,0.86587,0.72875,0.65351,0.61314,0.94461,2.622e-05,2.622e-05,2.622e-05
30,2740.62,0.60451,0.91433,0.93852,0.80943,0.8804,0.8678,0.73035,0.65499,0.60763,0.94265,1.4835e-05,1.4835e-05,1.4835e-05
